				Healthy						Sick					
Q9ULV4	Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1	0.002	0.013	1.640	1.930	1.941	1.105	1.045	0.763	0.763	0.613	0.336	0.194	0.339	0.651
Q06323	Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=1 SV=1	0.000	0.001	2.359	1.436	1.689	1.380	2.085	2.249	0.309	0.418	0.769	0.632	0.495	0.546
P05090	Apolipoprotein D OS=Homo sapiens GN=APOD PE=1 SV=1	0.000	0.001	1.857	1.472	2.184	2.540	2.446	1.626	0.528	0.548	0.872	0.847	0.534	0.939
P23381	Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2	0.290	0.422	0.959	0.953	0.900	1.133	0.959	0.857	1.354	1.360	1.391	1.353	0.504	1.484
P13796	Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6	0.052	0.119	1.545	1.247	0.913	1.169	1.508	1.714	0.823	0.891	0.660	1.086	0.645	1.609
P00734	Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=2	0.153	0.265	1.324	1.211	0.978	1.189	0.997	1.335	1.046	1.100	1.176	1.167	0.442	0.657
O75083	WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4	0.233	0.359	1.701	1.670	1.903	2.328	4.178	6.962	0.867	0.951	0.490	3.413	5.323	1.719
P08670	Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4	0.313	0.443	0.721	0.288	1.305	0.619	0.938	0.856	0.979	0.457	0.694	0.462	0.413	0.453
P13591	Neural cell adhesion molecule 1 OS=Homo sapiens GN=NCAM1 PE=1 SV=3	0.008	0.030	1.496	0.963	2.332	0.927	1.840	1.543	0.431	0.845	1.239	0.659	0.814	0.516
P14780	Matrix metalloproteinase-9 OS=Homo sapiens GN=MMP9 PE=1 SV=3	0.012	0.043	0.410	0.035	0.046	0.087	0.110	0.157	3.877	0.453	0.881	0.255	0.429	0.201
O95336	6-phosphogluconolactonase OS=Homo sapiens GN=PGLS PE=1 SV=2	0.000	0.003	1.813	2.026	2.006	2.453	1.868	1.265	0.540	0.311	0.733	0.702	0.298	0.720
Q9H4A4	Aminopeptidase B OS=Homo sapiens GN=RNPEP PE=1 SV=2	0.000	0.001	0.064	0.032	0.021	0.012	0.059	0.016	1.148	1.032	0.275	0.796	0.410	1.478
P41271	Neuroblastoma suppressor of tumorigenicity 1 OS=Homo sapiens GN=NBL1 PE=1 SV=2	0.379	0.509	1.105	0.672	0.792	1.417	0.875	0.935	0.513	0.504	1.213	1.222	0.781	0.783
Q14515	SPARC-like protein 1 OS=Homo sapiens GN=SPARCL1 PE=1 SV=2	0.153	0.265	0.734	1.045	2.880	1.151	2.503	1.351	0.796	0.935	0.961	0.822	1.435	1.066
P49720	Proteasome subunit beta type-3 OS=Homo sapiens GN=PSMB3 PE=1 SV=2	0.111	0.208	0.834	0.310	0.524	0.630	0.837	0.993	1.241	0.630	0.629	1.125	1.699	0.899
Q99650	Oncostatin-M-specific receptor subunit beta OS=Homo sapiens GN=OSMR PE=1 SV=1	0.134	0.240	1.287	1.328	1.137	1.424	1.125	1.240	0.851	1.394	1.157	0.994	1.281	0.873
P31946	14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3	0.001	0.005	0.260	0.288	0.258	0.447	0.351	0.343	1.298	1.541	1.156	0.915	0.451	1.131
P58546	Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2	0.002	0.013	0.133	0.061	0.012	0.042	0.175	0.092	0.782	1.244	1.076	0.184	0.234	0.509
P78417	Glutathione S-transferase omega-1 OS=Homo sapiens GN=GSTO1 PE=1 SV=2	0.651	0.759	0.661	0.215	0.330	0.120	0.160	0.176	1.000	0.414	0.438	0.184	0.122	0.127
P04180	Phosphatidylcholine-sterol acyltransferase OS=Homo sapiens GN=LCAT PE=1 SV=1	0.000	0.001	1.743	1.390	2.129	2.082	2.289	1.954	0.561	0.786	0.721	0.818	0.597	0.970
P37837	Transaldolase OS=Homo sapiens GN=TALDO1 PE=1 SV=2	0.855	0.910	0.742	0.056	0.074	0.071	0.074	0.115	0.588	0.161	0.228	0.058	0.086	0.033
P12111	Collagen alpha-3(VI) chain OS=Homo sapiens GN=COL6A3 PE=1 SV=5	0.000	0.002	0.420	0.203	0.398	0.218	0.181	0.214	1.608	0.978	1.783	1.052	0.634	0.964
P49721	Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1	0.251	0.380	0.252	0.280	0.235	1.163	1.383	1.433	0.921	1.039	1.919	0.860	0.524	0.977
Q8NCC3	Group XV phospholipase A2 OS=Homo sapiens GN=PLA2G15 PE=1 SV=2	0.003	0.015	0.827	0.688	0.693	0.757	1.251	1.149	0.447	0.510	0.405	0.795	0.397	0.372
O00533	Neural cell adhesion molecule L1-like protein OS=Homo sapiens GN=CHL1 PE=1 SV=4	0.018	0.055	0.220	0.149	0.301	0.349	0.360	0.286	1.334	0.595	0.528	0.452	0.288	0.483
P07737	Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2	0.606	0.716	0.478	0.502	1.342	0.527	0.771	0.627	0.592	0.789	0.927	0.626	0.405	0.375
Q17RQ9	NTPase KAP family P-loop domain-containing protein 1 OS=Homo sapiens GN=NKPD1 PE=2 SV=1	0.003	0.017	0.587	0.700	2.020	0.860	1.727	1.218	0.234	0.621	0.617	0.278	0.365	0.376
P05109	Protein S100-A8 OS=Homo sapiens GN=S100A8 PE=1 SV=1	0.412	0.541	1.290	0.160	6.464	1.399	0.061	2.136	0.242	0.524	1.084	0.526	0.030	1.106
P09326	CD48 antigen OS=Homo sapiens GN=CD48 PE=1 SV=2	0.115	0.211	1.309	1.932	0.816	0.763	1.149	0.927	0.668	0.545	1.243	0.898	0.899	0.665
P28066	Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3	0.300	0.429	1.389	0.881	1.367	2.163	1.093	2.411	0.876	1.231	2.050	1.710	0.867	0.542
Q8TDY2	RB1-inducible coiled-coil protein 1 OS=Homo sapiens GN=RB1CC1 PE=1 SV=3	0.280	0.410	1.209	1.177	1.146	1.215	1.297	1.162	0.654	1.119	1.273	1.343	0.486	1.350
P62158	Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2	0.000	0.005	0.475	0.303	0.304	0.389	0.297	0.370	0.896	0.837	0.914	1.309	0.598	0.560
P54108	Cysteine-rich secretory protein 3 OS=Homo sapiens GN=CRISP3 PE=1 SV=1	0.008	0.030	0.200	0.122	0.339	0.243	0.308	0.243	2.064	0.606	0.745	0.452	0.523	0.343
Q01995	Transgelin OS=Homo sapiens GN=TAGLN PE=1 SV=4	0.401	0.528	0.540	0.341	1.130	0.657	1.007	0.861	0.965	0.504	0.697	0.504	0.471	0.466
P54727	UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1	0.003	0.015	0.314	0.122	0.138	0.130	0.108	0.132	0.517	0.382	0.954	0.270	0.225	0.519
P25789	Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1	0.001	0.009	1.289	1.083	1.294	1.487	1.606	1.403	0.572	0.512	0.972	0.831	0.858	0.831
P02766	Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1	0.719	0.806	0.746	0.098	0.139	0.010	0.013	0.018	0.447	0.099	0.214	0.025	0.050	0.014
P03952	Plasma kallikrein OS=Homo sapiens GN=KLKB1 PE=1 SV=1	0.518	0.637	0.949	0.169	0.102	0.031	0.049	0.048	1.811	0.167	0.189	0.059	0.156	0.044
P62993	Growth factor receptor-bound protein 2 OS=Homo sapiens GN=GRB2 PE=1 SV=1	0.667	0.769	0.809	0.665	0.543	0.779	0.777	1.019	0.661	0.824	0.642	1.465	0.861	0.622
P10451	Osteopontin OS=Homo sapiens GN=SPP1 PE=1 SV=1	0.016	0.051	0.610	0.584	1.914	0.620	2.205	1.512	0.465	0.618	0.445	0.302	0.463	0.371
O15394	Neural cell adhesion molecule 2 OS=Homo sapiens GN=NCAM2 PE=1 SV=2	0.000	0.004	0.557	0.296	0.498	0.672	0.654	0.498	1.324	1.117	1.239	1.565	1.176	1.005
P06702	Protein S100-A9 OS=Homo sapiens GN=S100A9 PE=1 SV=1	0.000	0.001	0.360	0.352	0.345	0.183	0.240	0.247	2.175	1.016	1.618	1.830	1.228	0.954
O95479	GDH/6PGL endoplasmic bifunctional protein OS=Homo sapiens GN=H6PD PE=1 SV=2	0.030	0.081	0.582	0.137	0.193	0.202	0.147	0.322	3.632	0.515	0.941	0.524	0.387	0.321
P43652	Afamin OS=Homo sapiens GN=AFM PE=1 SV=1	0.006	0.026	0.673	0.559	0.703	0.775	0.586	0.787	0.896	1.356	2.141	1.055	1.106	0.914
P05362	Intercellular adhesion molecule 1 OS=Homo sapiens GN=ICAM1 PE=1 SV=2	0.270	0.399	0.574	0.376	0.906	0.512	0.795	0.524	1.092	0.655	0.833	0.877	0.665	0.435
O75326	Semaphorin-7A OS=Homo sapiens GN=SEMA7A PE=1 SV=1	0.011	0.040	1.487	1.327	1.937	3.189	2.856	0.991	0.698	0.558	0.734	0.498	0.087	0.973
P35555	Fibrillin-1 OS=Homo sapiens GN=FBN1 PE=1 SV=3	0.342	0.475	0.787	0.184	0.244	0.011	0.047	0.089	0.523	0.243	0.616	0.208	0.267	0.032
Q04756	Hepatocyte growth factor activator OS=Homo sapiens GN=HGFAC PE=1 SV=1	0.331	0.462	0.663	1.190	0.651	0.695	0.443	0.818	0.854	0.412	1.269	1.075	0.915	1.064
Q86UD1	Out at first protein homolog OS=Homo sapiens GN=OAF PE=2 SV=1	0.056	0.125	0.672	0.524	0.492	0.577	0.667	0.578	0.839	0.952	0.869	0.891	1.524	0.446
Q6E0U4	Dermokine OS=Homo sapiens GN=DMKN PE=1 SV=3	0.171	0.288	0.012	0.329	0.218	0.797	1.066	0.628	0.846	1.261	1.206	0.903	0.414	0.646
Q04917	14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4	0.970	0.979	1.341	0.875	2.081	0.188	0.326	0.103	0.575	0.932	0.727	0.275	0.287	0.443
Q8WVN6	Secreted and transmembrane protein 1 OS=Homo sapiens GN=SECTM1 PE=1 SV=2	0.016	0.051	0.918	0.592	0.725	0.655	0.716	0.729	0.830	1.458	1.080	1.182	0.937	0.755
P55290	Cadherin-13 OS=Homo sapiens GN=CDH13 PE=1 SV=1	0.054	0.121	0.478	0.502	0.383	0.327	0.347	0.272	1.628	2.064	1.935	0.242	0.462	0.830
P28070	Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4	0.786	0.861	1.277	2.057	0.818	0.719	1.368	0.699	1.158	1.224	1.221	1.380	1.083	0.791
Q9BUN1	Protein MENT OS=Homo sapiens GN=MENT PE=2 SV=1	0.381	0.510	1.204	1.179	1.143	0.976	0.524	0.651	1.031	1.139	1.058	1.788	1.060	0.663
P16930	Fumarylacetoacetase OS=Homo sapiens GN=FAH PE=1 SV=2	0.246	0.374	0.459	0.604	0.597	0.878	0.578	0.638	0.429	0.604	1.040	1.255	1.527	0.569
P07478	Trypsin-2 OS=Homo sapiens GN=PRSS2 PE=1 SV=1	0.001	0.009	0.134	0.024	0.027	0.087	0.108	0.085	3.643	0.185	1.005	1.552	0.655	0.314
P01031	Complement C5 OS=Homo sapiens GN=C5 PE=1 SV=4	0.000	0.002	0.750	0.436	0.457	0.703	0.789	0.665	1.521	1.592	1.444	1.842	1.311	1.389
Q9GZX9	Twisted gastrulation protein homolog 1 OS=Homo sapiens GN=TWSG1 PE=1 SV=1	0.095	0.185	0.682	0.394	0.405	0.213	0.326	0.279	2.683	0.967	1.650	0.550	0.327	0.285
Q8WWZ8	Oncoprotein-induced transcript 3 protein OS=Homo sapiens GN=OIT3 PE=1 SV=2	0.040	0.099	0.757	0.321	0.951	0.370	0.799	0.713	0.308	0.454	0.566	0.372	0.227	0.276
P27797	Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1	0.872	0.914	1.374	0.871	1.339	0.572	1.219	1.882	1.325	0.649	0.781	1.801	0.932	2.438
O95445	Apolipoprotein M OS=Homo sapiens GN=APOM PE=1 SV=2	0.215	0.340	0.586	0.712	0.456	0.363	0.717	0.651	0.376	0.505	0.580	1.600	1.997	1.048
P04424	Argininosuccinate lyase OS=Homo sapiens GN=ASL PE=1 SV=4	0.029	0.078	0.745	0.667	0.622	0.777	0.975	0.812	0.816	1.164	1.426	0.991	1.252	0.756
P20618	Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2	0.937	0.954	0.747	0.202	0.688	0.289	0.609	0.426	0.577	0.429	0.512	0.526	0.455	0.288
P00748	Coagulation factor XII OS=Homo sapiens GN=F12 PE=1 SV=3	0.505	0.627	0.779	0.498	0.283	0.312	0.390	0.324	0.646	0.337	0.430	0.306	0.231	0.267
P02458	Collagen alpha-1(II) chain OS=Homo sapiens GN=COL2A1 PE=1 SV=3	0.184	0.304	0.274	0.866	0.484	1.830	0.498	0.327	1.275	2.003	0.276	2.444	1.202	0.670
P13489	Ribonuclease inhibitor OS=Homo sapiens GN=RNH1 PE=1 SV=2	0.438	0.567	0.110	0.976	0.114	1.441	0.930	1.022	0.349	0.070	0.019	1.085	0.714	0.870
P07996	Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2	0.020	0.060	0.927	0.707	0.966	1.012	1.162	0.956	1.584	1.588	0.807	1.411	1.392	1.765
P06396	Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1	0.000	0.002	1.537	1.547	2.220	2.450	1.750	1.348	0.803	0.667	0.937	0.573	0.829	0.925
P08185	Corticosteroid-binding globulin OS=Homo sapiens GN=SERPINA6 PE=1 SV=1	0.067	0.142	0.520	0.583	1.467	0.574	1.061	0.948	0.388	0.689	0.939	0.419	0.351	0.377
P80723	Brain acid soluble protein 1 OS=Homo sapiens GN=BASP1 PE=1 SV=2	0.027	0.074	0.426	0.187	0.199	0.055	0.064	0.119	3.083	0.475	0.870	0.528	0.557	0.103
P0DJI8	Serum amyloid A-1 protein OS=Homo sapiens GN=SAA1 PE=1 SV=1	0.860	0.912	0.869	0.757	0.578	0.816	1.079	1.610	0.623	1.384	0.858	0.826	1.001	1.072
P23284	Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2	0.139	0.247	0.676	0.614	0.749	0.760	0.991	0.441	0.794	1.399	1.653	0.872	0.808	0.553
P05154	Plasma serine protease inhibitor OS=Homo sapiens GN=SERPINA5 PE=1 SV=3	0.759	0.842	0.793	1.088	1.385	0.255	1.367	1.315	0.779	0.752	1.976	1.285	0.769	0.866
P62826	GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3	0.038	0.095	0.684	0.680	0.734	0.917	0.772	0.814	0.968	1.599	1.381	1.267	0.677	0.921
Q15907	Ras-related protein Rab-11B OS=Homo sapiens GN=RAB11B PE=1 SV=4	0.252	0.380	1.393	2.066	1.653	1.727	0.265	0.552	0.610	1.349	0.675	0.506	0.204	0.949
P08581	Hepatocyte growth factor receptor OS=Homo sapiens GN=MET PE=1 SV=4	0.114	0.211	0.536	0.513	1.678	0.593	1.232	0.711	1.549	0.839	1.062	1.345	0.817	3.628
P02750	Leucine-rich alpha-2-glycoprotein OS=Homo sapiens GN=LRG1 PE=1 SV=2	0.983	0.987	1.038	1.210	0.968	2.028	0.662	0.938	0.991	0.800	1.863	1.483	0.586	1.158
Q9UBX5	Fibulin-5 OS=Homo sapiens GN=FBLN5 PE=1 SV=1	0.032	0.084	0.023	0.093	0.085	0.236	0.559	1.830	0.525	1.391	0.710	1.166	4.962	1.059
Q01518	Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5	0.937	0.954	1.100	1.166	1.159	0.781	0.876	1.537	1.021	0.803	1.483	0.914	0.987	1.334
Q08174	Protocadherin-1 OS=Homo sapiens GN=PCDH1 PE=1 SV=2	0.053	0.120	0.623	0.643	2.344	1.115	1.011	2.336	0.251	0.852	1.148	0.514	0.652	0.398
P14625	Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1	0.667	0.769	0.662	0.748	1.052	0.923	0.993	0.814	1.731	0.496	1.023	0.853	0.534	0.547
P10909	Clusterin OS=Homo sapiens GN=CLU PE=1 SV=1	0.336	0.468	0.917	0.798	0.802	1.185	1.272	0.909	0.873	1.178	1.280	1.819	1.555	0.639
Q9NR31	GTP-binding protein SAR1a OS=Homo sapiens GN=SAR1A PE=1 SV=1	0.756	0.840	0.731	0.078	0.074	0.010	0.010	0.010	0.514	0.083	0.116	0.036	0.010	0.014
P07711	Cathepsin L1 OS=Homo sapiens GN=CTSL PE=1 SV=2	0.001	0.008	0.181	0.255	0.392	0.150	0.479	0.193	1.363	0.768	0.616	0.630	0.600	0.765
P61158	Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3	0.004	0.018	0.697	0.472	0.840	0.895	0.587	0.493	1.039	1.250	2.529	1.695	0.835	1.423
Q9Y617	Phosphoserine aminotransferase OS=Homo sapiens GN=PSAT1 PE=1 SV=2	0.000	0.004	0.963	1.147	2.356	1.323	2.435	1.587	0.304	0.804	0.466	0.446	0.653	0.554
P01042	Kininogen-1 OS=Homo sapiens GN=KNG1 PE=1 SV=2	0.161	0.275	0.552	0.585	1.354	0.578	0.873	0.596	0.601	0.648	0.764	0.417	0.503	0.415
Q9UQ80	Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3	0.021	0.063	0.333	0.147	0.261	0.194	0.269	0.245	1.641	0.763	1.035	0.607	0.277	0.254
P28676	Grancalcin OS=Homo sapiens GN=GCA PE=1 SV=2	0.000	0.003	0.110	0.189	0.091	0.156	0.168	0.208	0.863	0.641	0.366	1.804	0.744	0.858
O94985	Calsyntenin-1 OS=Homo sapiens GN=CLSTN1 PE=1 SV=1	0.002	0.012	0.379	0.263	0.248	0.273	0.318	0.271	1.113	1.078	1.562	1.985	0.582	0.498
Q8IWV2	Contactin-4 OS=Homo sapiens GN=CNTN4 PE=1 SV=1	0.008	0.031	0.476	0.318	0.521	0.782	1.094	1.193	1.823	1.411	1.333	2.212	2.258	0.877
Q9UJU6	Drebrin-like protein OS=Homo sapiens GN=DBNL PE=1 SV=1	0.528	0.645	0.859	0.687	1.121	1.065	0.775	0.754	1.114	1.592	1.688	1.291	0.562	0.482
P04114	Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=1 SV=2	0.000	0.001	0.414	0.325	0.313	0.397	0.314	0.296	0.978	0.752	0.611	0.778	0.748	0.575
P02753	Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3	0.503	0.627	0.302	0.542	2.539	0.821	1.196	0.901	0.504	0.961	0.993	0.782	0.631	0.382
Q06141	Regenerating islet-derived protein 3-alpha OS=Homo sapiens GN=REG3A PE=1 SV=1	0.758	0.842	1.019	0.900	0.826	0.810	0.993	0.992	0.739	1.627	0.834	1.248	0.636	1.012
P08123	Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=7	0.185	0.304	1.349	2.099	1.056	0.861	1.164	0.882	0.905	0.649	1.470	1.110	0.641	0.866
P48637	Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1	0.000	0.003	1.191	1.412	2.709	2.812	2.626	2.245	0.840	0.361	0.587	0.592	0.920	0.489
Q96IU4	Protein ABHD14B OS=Homo sapiens GN=ABHD14B PE=1 SV=1	0.199	0.320	1.644	3.729	0.583	0.555	1.500	0.645	0.773	0.482	1.327	0.813	0.467	0.523
P05997	Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=3	0.146	0.255	2.217	5.801	0.679	0.545	1.349	0.740	0.724	0.450	1.357	0.920	0.369	0.562
P08174	Complement decay-accelerating factor OS=Homo sapiens GN=CD55 PE=1 SV=4	0.023	0.066	0.122	0.110	0.050	0.034	0.063	0.024	0.755	1.281	1.047	0.042	0.117	0.279
P50895	Basal cell adhesion molecule OS=Homo sapiens GN=BCAM PE=1 SV=2	0.586	0.697	1.118	0.763	0.892	1.046	0.884	0.909	0.647	1.061	1.531	1.316	1.023	0.743
P07738	Bisphosphoglycerate mutase OS=Homo sapiens GN=BPGM PE=1 SV=2	0.328	0.459	0.772	0.701	1.316	0.281	0.207	0.968	0.382	2.707	1.995	0.240	1.678	1.036
Q96KN2	Beta-Ala-His dipeptidase OS=Homo sapiens GN=CNDP1 PE=1 SV=4	0.020	0.060	0.636	0.601	0.763	0.911	0.673	0.979	1.324	0.966	0.774	1.318	0.964	0.972
P00558	Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3	0.006	0.025	0.400	0.225	0.308	0.408	0.377	0.418	0.551	0.989	0.523	0.987	0.528	0.470
P61981	14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2	0.053	0.121	1.044	0.729	0.698	0.915	0.762	0.634	0.873	1.251	0.870	1.413	1.378	0.760
Q04446	1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3	0.006	0.027	0.722	0.785	2.945	1.008	2.095	1.301	0.376	0.589	0.538	0.296	0.613	0.661
P13611	Versican core protein OS=Homo sapiens GN=VCAN PE=1 SV=3	0.294	0.424	0.778	0.481	0.802	0.832	1.103	1.063	1.009	1.053	2.541	1.633	0.420	1.012
P09668	Pro-cathepsin H OS=Homo sapiens GN=CTSH PE=1 SV=4	0.027	0.075	0.352	0.576	0.275	0.307	0.125	0.078	3.597	3.393	4.076	0.321	0.234	0.819
P02452	Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5	0.463	0.591	1.022	1.393	1.249	1.306	1.230	1.354	0.878	1.116	1.411	1.465	0.613	1.518
Q9NYL9	Tropomodulin-3 OS=Homo sapiens GN=TMOD3 PE=1 SV=1	0.383	0.511	0.959	0.742	1.245	0.931	1.089	0.797	1.049	0.787	0.897	1.752	0.828	1.649
P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1	0.001	0.005	1.930	2.141	2.693	2.333	2.236	1.453	0.570	0.855	0.761	0.638	0.287	1.000
Q86YW5	Trem-like transcript 1 protein OS=Homo sapiens GN=TREML1 PE=1 SV=2	0.000	0.000	0.037	0.083	0.025	0.030	0.108	0.056	1.264	1.407	1.339	2.188	0.938	0.708
P00441	Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2	0.365	0.498	0.735	0.394	0.557	0.361	0.660	0.435	0.476	0.516	0.505	0.505	0.376	0.308
Q13449	Limbic system-associated membrane protein OS=Homo sapiens GN=LSAMP PE=1 SV=2	0.168	0.284	0.438	0.115	0.399	0.227	0.350	0.308	2.070	0.653	1.016	0.223	0.309	0.236
Q03154	Aminoacylase-1 OS=Homo sapiens GN=ACY1 PE=1 SV=1	0.122	0.223	1.044	0.654	0.533	0.810	0.659	0.847	0.790	0.321	0.996	0.313	0.551	0.153
P00390	Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2	0.009	0.033	0.238	0.091	0.121	0.196	0.259	0.224	3.523	1.460	1.281	0.519	0.352	0.284
P07998	Ribonuclease pancreatic OS=Homo sapiens GN=RNASE1 PE=1 SV=4	0.582	0.694	2.033	0.725	2.474	2.267	11.594	5.128	1.722	1.357	1.452	7.630	3.266	1.116
Q92520	Protein FAM3C OS=Homo sapiens GN=FAM3C PE=1 SV=1	0.000	0.003	0.203	0.194	0.251	0.218	0.213	0.174	1.552	1.679	2.031	0.733	1.201	0.581
O14786	Neuropilin-1 OS=Homo sapiens GN=NRP1 PE=1 SV=3	0.014	0.047	1.307	1.169	1.436	1.108	1.819	2.535	0.364	0.536	1.389	0.802	0.708	1.031
P10720	Platelet factor 4 variant OS=Homo sapiens GN=PF4V1 PE=1 SV=1	0.011	0.040	0.114	0.121	0.112	0.212	0.254	0.233	3.394	1.914	1.340	0.456	0.290	0.281
P37802	Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3	0.002	0.013	0.083	0.177	0.031	0.142	0.457	0.298	0.848	3.564	2.518	1.449	0.557	0.458
Q13162	Peroxiredoxin-4 OS=Homo sapiens GN=PRDX4 PE=1 SV=1	0.000	0.005	0.525	0.569	0.370	0.486	0.380	0.508	0.920	2.148	1.456	1.879	0.918	1.024
P49247	Ribose-5-phosphate isomerase OS=Homo sapiens GN=RPIA PE=1 SV=3	0.002	0.012	1.289	1.126	0.712	1.160	1.286	1.067	0.527	0.738	0.589	0.786	0.781	0.453
Q13418	Integrin-linked protein kinase OS=Homo sapiens GN=ILK PE=1 SV=2	0.007	0.029	0.659	0.926	3.606	1.118	2.374	1.368	0.319	0.645	0.461	0.380	0.619	0.669
P30101	Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4	0.025	0.071	0.209	0.147	0.154	0.062	0.045	0.038	1.447	1.525	0.377	0.106	0.099	1.596
Q15043	Zinc transporter ZIP14 OS=Homo sapiens GN=SLC39A14 PE=1 SV=3	0.000	0.000	0.534	0.570	0.803	0.774	0.713	0.537	2.134	1.905	1.399	2.368	2.517	1.864
P26641	Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3	0.005	0.023	1.695	1.560	2.022	2.105	2.223	2.132	0.426	0.783	0.256	0.819	0.100	0.653
P60709	Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1	0.722	0.807	0.821	0.105	0.150	0.089	0.135	0.123	0.464	0.310	0.358	0.135	0.099	0.075
Q8N6Q3	CD177 antigen OS=Homo sapiens GN=CD177 PE=1 SV=2	0.399	0.525	0.706	0.485	0.709	0.410	0.469	0.474	0.638	0.655	0.538	0.315	0.410	0.316
Q9NQC3	Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2	0.086	0.171	1.247	1.588	1.073	1.254	1.087	1.305	1.252	0.589	0.997	1.234	0.169	0.413
O75608	Acyl-protein thioesterase 1 OS=Homo sapiens GN=LYPLA1 PE=1 SV=1	0.042	0.101	0.923	0.358	0.456	0.249	0.845	0.400	1.185	1.031	0.766	0.946	1.469	0.437
P02775	Platelet basic protein OS=Homo sapiens GN=PPBP PE=1 SV=3	0.016	0.051	0.979	0.968	1.143	1.095	1.352	1.174	0.563	0.847	0.716	0.991	1.046	0.746
P01019	Angiotensinogen OS=Homo sapiens GN=AGT PE=1 SV=1	0.770	0.850	0.864	1.012	0.849	0.971	1.992	1.762	0.798	0.765	1.495	1.552	0.674	1.747
P24387	Corticotropin-releasing factor-binding protein OS=Homo sapiens GN=CRHBP PE=1 SV=2	0.004	0.020	0.174	0.086	0.059	0.140	0.182	0.175	3.474	1.906	1.244	0.428	0.397	0.260
Q15166	Serum paraoxonase/lactonase 3 OS=Homo sapiens GN=PON3 PE=1 SV=3	0.082	0.166	1.385	0.781	1.061	0.480	0.575	0.602	0.676	0.953	1.641	1.534	3.923	1.019
P80511	Protein S100-A12 OS=Homo sapiens GN=S100A12 PE=1 SV=2	0.563	0.677	0.151	0.442	1.350	0.652	1.097	0.882	0.504	0.623	0.573	1.334	0.912	0.957
O00584	Ribonuclease T2 OS=Homo sapiens GN=RNASET2 PE=1 SV=2	0.055	0.124	1.139	0.945	0.920	0.639	0.575	0.669	0.779	1.110	1.344	1.700	0.796	1.470
Q9BYE9	Cadherin-related family member 2 OS=Homo sapiens GN=CDHR2 PE=1 SV=2	0.006	0.026	0.015	0.251	0.092	0.042	0.057	0.049	1.955	6.426	0.948	0.506	0.129	0.203
